Algorithm,Size,Comparisons,Exchanges,Time(ms)
Insertion Sort,9355,21861308,21870662,28
Insertion Sort,6064,9170411,9176474,12
Insertion Sort,5131,6687491,6692621,2
Insertion Sort,7665,14780716,14788380,4
Insertion Sort,3831,3724069,3727899,1
Insertion Sort,6228,9655764,9661991,2
Insertion Sort,7147,12688047,12695193,3
Insertion Sort,5792,8503047,8508838,2
Insertion Sort,6180,9588624,9594803,2
Insertion Sort,5128,6582408,6587535,1
Insertion Sort,4832,5873929,5878760,1
Insertion Sort,6114,9241343,9247456,2
Insertion Sort,8352,17659667,17668018,5
Insertion Sort,3452,2998548,3001999,0
Insertion Sort,9275,21400803,21410077,5
Insertion Sort,6864,11596621,11603484,3
Insertion Sort,8577,18356317,18364893,5
Insertion Sort,3429,2979242,2982670,0
Insertion Sort,5981,8879629,8885609,2
Insertion Sort,403,41305,41707,0
Insertion Sort,6281,9941224,9947504,2
Insertion Sort,6433,10276570,10283002,2
Insertion Sort,7974,15969777,15977750,4
Insertion Sort,4356,4613222,4617577,1
Insertion Sort,8504,18085022,18093525,5
Insertion Sort,1016,265509,266524,0
Insertion Sort,4072,4201448,4205519,1
Insertion Sort,3139,2521937,2525075,0
Insertion Sort,5675,7942289,7947963,2
Insertion Sort,4785,5648035,5652819,1
Insertion Sort,8986,20210871,20219856,5
Insertion Sort,7663,14787660,14795322,4
Insertion Sort,323,26296,26618,0
Insertion Sort,8558,18658945,18667502,5
Insertion Sort,7272,13201740,13209011,3
Insertion Sort,2120,1152247,1154366,0
Insertion Sort,5025,6223887,6228911,1
Insertion Sort,7109,12655787,12662895,3
Insertion Sort,3768,3527212,3530979,0
Insertion Sort,6111,9058251,9064361,2
Insertion Sort,8557,18223453,18232009,5
Insertion Sort,2459,1533173,1535631,0
Insertion Sort,6183,9403571,9409753,2
Insertion Sort,8390,17676775,17685164,4
Insertion Sort,4917,5960401,5965317,1
Insertion Sort,1071,286304,287374,0
Insertion Sort,8178,16955638,16963815,4
Insertion Sort,569,81118,81686,0
Insertion Sort,5714,8085524,8091237,2
Insertion Sort,1569,628153,629721,0
Insertion Sort,1729,753708,755436,0
Insertion Sort,8457,17825009,17833465,4
Insertion Sort,6775,11445985,11452759,3
Insertion Sort,6365,10184821,10191185,2
Insertion Sort,5373,7162062,7167434,1
Insertion Sort,7153,12815318,12822470,3
Insertion Sort,8499,17836233,17844731,4
Insertion Sort,248,15966,16213,0
Insertion Sort,2899,2036342,2039240,0
Insertion Sort,3751,3478113,3481863,0
Insertion Sort,3445,2967349,2970793,0
Insertion Sort,2550,1628105,1630654,0
Insertion Sort,1552,610609,612160,0
Insertion Sort,417,44087,44503,0
Insertion Sort,7279,13179387,13186665,3
Insertion Sort,1509,567526,569034,0
Insertion Sort,44,516,559,0
Insertion Sort,5280,6921864,6927143,1
Insertion Sort,515,68379,68893,0
Insertion Sort,6649,11013448,11020096,3
Insertion Sort,6371,10329911,10336281,2
Insertion Sort,3870,3748403,3752272,1
Insertion Sort,4107,4303321,4307427,1
Insertion Sort,7717,14889456,14897172,4
Insertion Sort,2430,1477302,1479731,0
Insertion Sort,9040,20441924,20450963,6
Insertion Sort,9349,21871130,21880478,6
Insertion Sort,4211,4430135,4434345,1
Insertion Sort,9057,20454835,20463891,5
Insertion Sort,5031,6327424,6332454,1
Insertion Sort,1034,262102,263135,0
Insertion Sort,9520,22402521,22412040,6
Insertion Sort,7805,15172732,15180536,4
Insertion Sort,2601,1691860,1694460,0
Insertion Sort,6000,9031312,9037311,2
Insertion Sort,6519,10544064,10550582,2
Insertion Sort,6421,10432096,10438516,2
Insertion Sort,2231,1240433,1242663,0
Insertion Sort,2533,1607254,1609786,0
Insertion Sort,7112,12626202,12633313,3
Insertion Sort,2414,1435536,1437949,0
Insertion Sort,7531,14255895,14263425,4
Insertion Sort,6108,9519422,9525529,2
Insertion Sort,3685,3338835,3342519,0
Insertion Sort,4352,4709076,4713427,1
Insertion Sort,305,21916,22220,0
Insertion Sort,8500,18257737,18266236,5
Insertion Sort,7657,14732186,14739842,4
Insertion Sort,7817,15557760,15565576,4
Insertion Sort,6734,11273977,11280710,3
Insertion Sort,4996,6231145,6236140,1
Insertion Sort,8837,19557099,19565935,5
Insertion Sort,4481,5012026,5016506,1
Insertion Sort,8801,19136184,19144984,5
Insertion Sort,2531,1589179,1591709,0
